"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 02:24:44 UTC 2024","Sat Mar 09 02:24:49 UTC 2024","4712","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Mar 09 03:20:28 UTC 2024","Sat Mar 09 03:21:06 UTC 2024","37866","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sat Mar 09 02:26:38 UTC 2024","Sat Mar 09 02:26:47 UTC 2024","9530","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Mar 09 02:26:38 UTC 2024","Sat Mar 09 02:26:38 UTC 2024","239","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Mar 09 04:05:33 UTC 2024","Sat Mar 09 04:05:47 UTC 2024","14067","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sat Mar 09 02:18:39 UTC 2024","Sat Mar 09 02:18:55 UTC 2024","16153","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Mar 09 02:39:25 UTC 2024","Sat Mar 09 02:39:27 UTC 2024","2041","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Mar 09 02:41:50 UTC 2024","Sat Mar 09 02:41:54 UTC 2024","4487","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Mar 09 02:32:32 UTC 2024","Sat Mar 09 02:32:48 UTC 2024","16191","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Mar 09 02:35:40 UTC 2024","Sat Mar 09 02:36:34 UTC 2024","54357","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sat Mar 09 02:30:49 UTC 2024","Sat Mar 09 02:30:50 UTC 2024","548","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Mar 09 02:39:47 UTC 2024","Sat Mar 09 02:39:50 UTC 2024","3087","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Mar 09 04:05:54 UTC 2024","Sat Mar 09 04:05:54 UTC 2024","312","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Mar 09 02:58:25 UTC 2024","Sat Mar 09 02:58:37 UTC 2024","12727","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Mar 09 02:58:44 UTC 2024","Sat Mar 09 02:58:46 UTC 2024","1371","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Mar 09 02:32:48 UTC 2024","Sat Mar 09 02:32:56 UTC 2024","8124","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sat Mar 09 02:54:00 UTC 2024","Sat Mar 09 02:54:03 UTC 2024","2315","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
